j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
sunce,srednji,sunca,suncu,sunce,sunce,suncu,suncem,sunca,sunaca,suncima,sunca,sunca,suncima,suncima
suprotnica,ženski,suprotnice,suprotnici,suprotnicu,suprotnico,suprotnici,suprotnicom,suprotnice,suprotnica,suprotnicama,suprotnice,suprotnice,suprotnicama,suprotnicama
svijest,ženski,svijesti,svijesti,svijest,svijesti,svijesti,sviješću,svijesti,svijesti,svijestima,svijesti,svijesti,svijestima,svijestima
svjetlost,ženski,svjetlosti,svjetlosti,svjetlost,svjetlosti,svjetlosti,svjetlošću,svjetlosti,svjetlosti,svjetlostima,svjetlosti,svjetlosti,svjetlostima,svjetlostima
svršetak,muški,svršetka,svršetku,svršetak,svršetku,svršetku,svršetkom,svršeci,svršetaka,svršecima,svršetke,svršeci,svršecima,svršecima
sveučilište,srednji,sveučilišta,sveučilištu,sveučilište,sveučilište,sveučilištu,sveučilištem,sveučilišta,sveučilišta,sveučilištima,sveučilišta,sveučilišta,sveučilištima,sveučilištima
svećenik,muški,svećenika,svećeniku,svećenika,svećeniče,svećeniku,svećenikom,svećenici,svećenika,svećenicima,svećenike,svećenici,svećenicima,svećenicima
svota,ženski,svote,svoti,svotu,svoto,svoti,svotom,svote,svota,svotama,svote,svote,svotama,svotama
sustav,muški,sustava,sustavu,sustav,sustave,sustavu,sustavom,sustavi,sustava,sustavima,sustave,sustavi,sustavima,sustavima
svjedok,muški,svjedoka,svjedoku,svjedoka,svjedoče,svjedoku,svjedokom,svjedoci,svjedoka,svjedocima,svjedoke,svjedoci,svjedocima,svjedocima
suzvučje,srednji,suzvučja,suzvučju,suzvučje,suzvučje,suzvučju,suzvučjem,suzvučja,suzvučja,suzvučjima,suzvučja,suzvučja,suzvučjima,suzvučjima
svrha,ženski,svrhe,svrsi,svrhu,svrho,svrsi,svrhom,svrhe,svrha,svrhama,svrhe,svrhe,svrhama,svrhama
svjetlo,srednji,svjetla,svjetlu,svjetlo,svjetlo,svjetlu,svjetlom,svjetla,svjetala,svjetlima,svjetla,svjetla,svjetlima,svjetlima
superlativ,muški,superlativa,superlativu,superlativ,superlative,superlativu,superlativom,superlativi,superlativa,superlativima,superlative,superlativi,superlativima,superlativima
