j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
komarac,muški,komarca,komarcu,komarca,komarče,komarcu,komarcem,komarci,komaraca,komarcima,komarce,komarci,komarcima,komarcima
komodor,muški,komodora,komodoru,komodor,komodore,komodoru,komodorom,komodori,komodora,komodorima,komodore,komodori,komodorima,komodorima
konoba,ženski,konobe,konobi,konobu,konobo,konobi,konobom,konobe,konoba,konobama,konobe,konobe,konobama,konobama
Kosovar,muški,Kosovara,Kosovaru,Kosovara,Kosovare,Kosovaru,Kosovarom,Kosovari,Kosovara,Kosovarima,Kosovare,Kosovari,Kosovarima,Kosovarima
Kosovo,srednji,Kosova,Kosovu,Kosovo,Kosovo,Kosovom,Kosovo,Kosova,Kosova,Kosovima,Kosova,Kosova,Kosovima,Kosovima
košarka,ženski,košarke,košarci,košarku,košarko,košarci,košarkom,košarke,košarka,košarkama,košarke,košarke,košarkama,košarkama
kriolit,muški,kriolita,kriolitu,kriolit,kriolite,kriolitu,kriolitom,krioliti,kriolita,kriolitima,kriolite,krioliti,kriolitima,kriolitima
kriptonit,muški,kriptonita,kriptonitu,kriptonit,kriptonite,kriptonitu,kriptonitom,kriptoniti,kriptonita,kriptonitima,kriptonite,kriptoniti,kriptonitima,kriptonitima
kristal,muški,kristala,kristalu,kristal,kristale,kristalu,kristalom,kristali,kristala,kristalima,kristale,kristali,kristalima,kristalima
kositar,muški,kositara,kositru,kositar,kositre,kositru,kositrom,kositri,kositara,kositrima,kositre,kositri,kositrima,kositrima
kozaprst,muški,kozaprsta,kozaprstu,kozaprst,kozaprste,kozaprstu,kozaprstom,kozaprsti,kozaprsta,kozaprstima,kozaprste,kozaprsti,kozaprstima,kozaprstima
koren,muški,korena,korenu,koren,korene,korenu,korenom,koreni,korena,korenima,korene,koreni,korenima,korenima
kutljača,ženski,kutljače,kutljači,kutljaču,kutljačo,kutljači,kutljačom,kutljače,kutljača,kutljačama,kutljače,kutljače,kutljačama,kutljačama
ladica,ženski,ladice,ladicu,ladici,ladice,ladicu,ladicom,ladici,ladica,ladicama,ladice,ladici,ladicama,ladicama
ksenon,muški,ksenona,ksenonu,ksenon,ksenone,ksenonu,ksenonem,ksenoni,ksenona,ksenonima,ksenone,ksenoni,ksenonima,ksenonima
krutina,ženski,krutine,krutini,krutinu,krutino,krutinu,krutinom,krutine,krutina,krutinama,krutine,krutine,krutinama,krutinama
kuća,ženski,kuće,kući,kuću,kućo,kući,kućom,kuće,kuća,kućama,kuće,kuće,kućama,kućama
kurij,muški,kurija,kuriju,kurij,kuriju,kuriju,kurijem,kuriji,kurija,kurijima,kurije,kuriji,kurijima,kurijima
kurčatovij,muški,kurčatovija,kurčatoviju,kurčatovij,kurčatoviju,kurčatoviju,kurčatovijem,kurčatoviji,kurčatovija,kurčatovijima,kurčatovije,kurčatoviji,kurčatovijima,kurčatovijima
ljepilo,srednji,ljepila,ljepilu,ljepilo,ljepilo,ljepilu,ljepilom,ljepila,ljepila,ljepilima,ljepila,ljepila,ljepilima,ljepilima
lapor,muški,lapora,laporu,lapor,lapore,laporu,laporom,lapori,lapora,laporima,lapore,lapori,laporima,laporima
ledac,muški,ledca,ledcu,ledca,ledče,ledcu,ledcem,ledci,ledaca,ledcima,ledce,ledci,ledcima,ledcima
ledenjak,muški,ledenjaka,ledenjaku,ledenjak,ledenjače,ledenjaku,ledenjakom,ledenjaci,ledenjaka,ledenjacima,ledenjake,ledenjaci,ledenjacima,ledenjacima
lijeska,ženski,lijeske,lijesci,lijesku,lijesko,lijesci,lijeskom,lijeske,lijesaka,lijeskama,lijeske,lijeske,lijeskama,lijeskama
limunika,ženski,limunike,limunici,limuniku,limuniko,limunici,limunikom,limunike,limunika,limunikama,limunike,limunike,limunikama,limunikama
lipanj,muški,lipnja,lipnju,lipanj,lipnju,lipnju,lipnjem,lipnji,lipanja,lipnjima,lipnje,lipnji,lipnjima,lipnjima
livada,ženski,livade,livadi,livadu,livado,livadi,livadom,livade,livada,livadama,livade,livade,livadama,livadama
leptir,muški,leptira,leptiru,leptira,leptiru,leptiru,leptirom,leptiri,leptira,leptirima,leptire,leptiri,leptirima,leptirima
limonit,muški,limonita,limonitu,limonit,limonite,limonitu,limonitom,limoniti,limonita,limonitima,limonite,limoniti,limonitima,limonitima
litij,muški,litija,litiju,litij,litiju,litiju,litijem,litiji,litija,litijima,litije,litiji,litijima,litijima
lješnjak,muški,lješnjaka,lješnjaku,lješnjak,lješnjače,lješnjaku,lješnjakom,lješnjaci,lješnjaka,lješnjacima,lješnjake,lješnjaci,lješnjacima,lješnjacima
ljubica,ženski,ljubice,ljubicu,ljubici,ljubice,ljubicu,ljubicom,ljubici,ljubica,ljubicama,ljubice,ljubici,ljubicama,ljubicama
luganda,ženski,lugande,lugandi,lugandu,lugando,lugandi,lugandom,lugande,luganda,lugandama,lugande,lugande,lugandama,lugandama
Makedonac,muški,Makedonca,Makedoncu,Makedonca,Makedonče,Makedoncu,Makedoncem,Makedonci,Makedonaca,Makedoncima,Makedonce,Makedonci,Makedoncima,Makedoncima
moldavit,muški,moldavita,moldavitu,moldavit,moldavite,moldavitu,moldavitom,moldaviti,moldavita,moldavitima,moldavite,moldaviti,moldavitima,moldavitima
maestral,muški,maestrala,maestralu,maestral,maestrale,maestralu,maestralom,maestrale,maestrala,maestralima,maestrale,maestrali,maestralima,maestralima
lorencij,muški,lorencija,lorenciju,lorencij,lorenciju,lorenciju,lorencijem,lorenciji,lorencija,lorencijima,lorencije,lorenciji,lorencijima,lorencijima
maj,muški,maja,maju,maj,maju,maju,majem,majevi,majeva,majevima,majeve,majevi,majevima,majevima
lorensij,muški,lorensija,lorensiju,lorensij,lorensiju,lorensiju,lorensijem,lorensiji,lorensija,lorensijima,lorensije,lorensiji,lorensijima,lorensijima
lutecij,muški,lutecija,luteciju,lutecij,luteciju,luteciju,lutecijem,luteciji,lutecija,lutecijima,lutecije,luteciji,lutecijima,lutecijima
majtnerij,muški,majtnerija,majtneriju,majtnerij,majtneriju,majtneriju,majtnerijem,majtneriji,majtnerija,majtnerijima,majtnerije,majtneriji,majtnerijima,majtnerijima
marač,muški,marča,marču,marač,marče,marču,marčem,marči,marača,marčima,marče,marči,marčima,marčima
maršal,muški,maršala,maršalu,maršal,maršale,maršalu,maršalom,maršali,maršala,maršalima,maršale,maršali,maršalima,maršalima
mazohist,muški,mazohista,mazohistu,mazohista,mazohistu,mazohistu,mazohistom,mazohisti,mazohista,mazohistima,mazohiste,mazohisti,mazohistima,mazohistima
melanoflogit,muški,melanoflogita,melanoflogitu,melanoflogit,melanoflogite,melanoflogitu,melanoflogitom,melanoflogiti,melanoflogita,melanoflogitima,melanoflogite,melanoflogiti,melanoflogitima,melanoflogitima
mendelevij,muški,mendelevija,mendeleviju,mendelevij,mendeleviju,mendeleviju,mendelevijem,mendeleviji,mendelevija,mendelevijima,mendelevije,mendeleviji,mendelevijima,mendelevijima
meitnerij,muški,meitnerija,meitneriju,meitnerij,meitneriju,meitneriju,meitnerijem,meitneriji,meitnerija,meitnerijima,meitnerije,meitneriji,meitnerijima,meitnerijima
marac,muški,marca,marcu,marac,marče,marcu,marcem,marci,maraca,marcima,marce,marci,marcima,marcima
meteor,muški,meteora,meteoru,meteor,meteore,meteoru,meteorom,meteori,meteora,meteorima,meteore,meteori,meteorima,meteorima
mineralog,muški,mineraloga,mineralogu,mineraloga,mineralože,mineralogu,mineralogom,mineralozi,mineraloga,mineralozima,mineraloge,mineralozi,mineralozima,mineralozima
mistvo,srednji,mistva,mistvu,mistvo,mistvo,mistvu,mistvom,mistva,mistava,mistvima,mistva,mistva,mistvima,mistvima
mjestnik,muški,mjestnika,mjestniku,mjestnik,mjestniče,mjestniku,mjestnikom,mjestnici,mjestnika,mjestnicima,mjestnike,mjestnici,mjestnicima,mjestnicima
moganit,muški,moganita,moganitu,moganit,moganite,moganitu,moganitom,moganiti,moganita,moganitima,moganite,moganiti,moganitima,moganitima
mirroriranje,srednji,mirroriranja,mirroriranju,mirroriranje,mirroriranje,mirroriranju,mirroriranjem,mirroriranja,mirroriranja,mirroriranjima,mirroriranja,mirroriranja,mirroriranjima,mirroriranjima
misloslovlje,srednji,misloslovlja,misloslovlju,misloslovlje,misloslovlje,misloslovlju,misloslovljem,misloslovlja,misloslovlja,misloslovljima,misloslovlja,misloslovlja,misloslovljima,misloslovljima
mozarkit,muški,mozarkita,mozarkitu,mozarkit,mozarkite,mozarkitu,mozarkitom,mozarkiti,mozarkita,mozarkitima,mozarkite,mozarkiti,mozarkitima,mozarkitima
mrkvač,muški,mrkvača,mrkvaču,mrkvač,mrkvače,mrkvaču,mrkvačem,mrkvači,mrkvača,mrkvačima,mrkvače,mrkvači,mrkvačima,mrkvačima
nabavnica,ženski,nabavnice,nabavnicu,nabavnici,nabavnice,nabavnicu,nabavnicom,nabavnici,nabavnica,nabavnicama,nabavnice,nabavnici,nabavnicama,nabavnicama
mušketa,muški,muškete,mušketi,mušketu,mušketo,mušketi,mušketom,muškete,mušketa,mušketama,muškete,muškete,mušketama,mušketama
napitak,muški,napitka,napitku,napitak,napitče,napitku,napitkom,napitci,napitaka,napitcima,napitake,napitci,napitcima,napitcima
nikal,muški,nikala,niklu,nikal,nikle,niklu,niklom,nikli,nikala,niklima,nikle,nikli,niklima,niklima
mudroslovlje,srednji,mudroslovlja,mudroslovlju,mudroslovlje,mudroslovlje,mudroslovlju,mudroslovljem,mudroslovlja,mudroslovlja,mudroslovljima,mudroslovlja,mudroslovlja,mudroslovljima,mudroslovljima
naplatnica,ženski,naplatnice,naplatnicu,naplatnici,naplatnice,naplatnicu,naplatnicom,naplatnici,naplatnica,naplatnicama,naplatnice,naplatnici,naplatnicama,naplatnicama
nazovnik,muški,nazovnika,nazovniku,nazovnik,nazovniče,nazovniku,nazovnikom,nazovnici,nazovnika,nazovnicima,nazovnike,nazovnici,nazovnicima,nazovnicima
neptunij,muški,neptunija,neptuniju,neptunij,neptuniju,neptuniju,neptunijem,neptuniji,neptunija,neptunijima,neptunije,neptuniji,neptunijima,neptunijima
natrij,muški,natrija,natriju,natrij,natriju,natriju,natrijem,natriji,natrija,natrijima,natrije,natriji,natrijima,natrijima
neodim,muški,neodima,neodimu,neodim,neodime,neodimu,neodimem,neodimi,neodima,neodimima,neodime,neodimi,neodimima,neodimima
neodimij,muški,neodimija,neodimiju,neodimij,neodimiju,neodimiju,neodimijem,neodimiji,neodimija,neodimijima,neodimije,neodimiji,neodimijima,neodimijima
neon,muški,neona,neonu,neon,neone,neonu,neonem,neoni,neona,neonima,neone,neoni,neonima,neonima
nekapnica,ženski,nekapnice,nekapnici,nekapnicu,nekapnice,nekapnici,nekapnicom,nekapnice,nekapnica,nekapnicama,nekapnice,nekapnice,nekapnicama,nekapnicama
ništica,ženski,ništice,ništici,ništicu,ništice,ništici,ništicom,ništice,ništica,ništicama,ništice,ništice,ništicama,ništicama
nilsborij,muški,nilsborija,nilsboriju,nilsborij,nilsboriju,nilsboriju,nilsborijem,nilsboriji,nilsborija,nilsborijima,nilsborije,nilsboriji,nilsborijima,nilsborijima
niob,muški,nioba,niobu,niob,niobe,niobu,niobom,niobi,nioba,niobima,niobe,niobi,niobima,niobima
nobelij,muški,nobelija,nobeliju,nobelij,nobeliju,nobeliju,nobelijem,nobeliji,nobelija,nobelijima,nobelije,nobeliji,nobelijima,nobelijima
nogomet,muški,nogometa,nogometu,nogomet,nogometu,nogometu,nogometom,nogometi,nogometa,nogometima,nogomete,nogometi,nogometima,nogometima
obilježivač,muški,obilježivača,obilježivaču,obilježivač,obilježivaču,obilježivaču,obilježivačem,obilježivače,obilježivača,obilježivačima,obilježivače,obilježivači,obilježivačima,obilježivačima
obličak,muški,oblička,obličku,obličak,obličče,obličku,obličkom,obličci,obličaka,obličcima,obličke,obličci,obličcima,obličcima
niobij,muški,niobija,niobiju,niobij,niobiju,niobiju,niobijem,niobiji,niobija,niobijima,niobije,niobiji,niobijima,niobijima
nitroks,muški,nitroksa,nitroksu,nitroks,nitrokse,nitroksu,nitroksom,nitroksi,nitroksa,nitroksima,nitrokse,nitroksi,nitroksima,nitroksima
ogibljenje,srednji,ogibljenja,ogibljenju,ogibljenje,ogibljenje,ogibljenju,ogibljenjem,ogibljenja,ogibljenja,ogibljenjima,ogibljenja,ogibljenja,ogibljenjima,ogibljenjima
oksid,muški,oksida,oksidu,oksid,okside,oksidu,oksidom,oksidi,oksida,oksidima,okside,oksidi,oksidima,oksidima
olovo,srednji,olova,olovu,olovo,olovo,olovu,olovom,olova,olova,olovima,olova,olova,olovima,olovima
orudnik,muški,orudnika,orudniku,orudnik,orudniče,orudniku,orudnikom,orudnici,orudnika,orudnicima,orudnike,orudnici,orudnicima,orudnicima
otapalo,srednji,otapala,otapalu,otapalo,otapalo,otapalu,otapalom,otapala,otapala,otapalima,otapala,otapala,otapalima,otapalima
otopina,ženski,otopine,otopini,otopinu,otopino,otopini,otopinom,otopine,otopina,otopinama,otopine,otopine,otopinama,otopinama
otočanin,muški,otočanina,otočaninu,otočanina,otočanine,otočaninu,otočaninom,otočani,otočana,otočanima,otočane,otočani,otočanima,otočanima
otočić,muški,otočića,otočiću,otočić,otočiću,otočiću,otočićem,otočići,otočića,otočićima,otočiće,otočići,otočićima,otočićima
osmij,muški,osmija,osmiju,osmij,osmiju,osmiju,osmijem,osmiji,osmija,osmijima,osmije,osmiji,osmijima,osmijima
osa,ženski,ose,osi,osu,oso,osi,osom,ose,osa,osama,ose,ose,osama,osama
paladij,muški,paladija,paladiju,paladij,paladiju,paladiju,paladijem,paladiji,paladija,paladijima,paladije,paladiji,paladijima,paladijima
ožujak,muški,ožujka,ožujku,ožujak,ožujče,ožujku,ožujkom,ožujci,ožujaka,ožujcima,ožujke,ožujci,ožujcima,ožujcima
padolist,muški,padolista,padolistu,padolist,padoliste,padolistu,padolistom,padolisti,padolista,padolistima,padoliste,padolisti,padolistima,padolistima
pisač,muški,pisača,pisaču,pisač,pisaču,pisaču,pisačem,pisači,pisača,pisačima,pisače,pisači,pisačima,pisačima
pješaštvo,srednji,pješaštva,pješaštvu,pješaštvo,pješaštvo,pješaštvu,pješaštvom,pješaštva,pješaštava,pješaštvima,pješaštva,pješaštva,pješaštvima,pješaštvima
pješčenjak,muški,pješčenjaka,pješčenjaku,pješčenjak,pješčenjače,pješčenjaku,pješčenjakom,pješčenjaci,pješčenjaka,pješčenjacima,pješčenjake,pješčenjaci,pješčenjacima,pješčenjacima
plin,muški,plina,plinu,plin,pline,plinu,plinom,plinovi,plinova,plinovima,plinove,plinovi,plinovima,plinovima
platina,ženski,platine,platinu,platini,platine,platinu,platinom,platini,platina,platinama,platine,platini,platinama,platinama
podmorje,srednji,podmorja,podmorju,podmorje,podmorje,podmorju,podmorjem,podmorja,podmorja,podmorjima,podmorja,podmorja,podmorjima,podmorjima
ponistra,ženski,ponistre,ponistru,ponistri,ponistre,ponistru,ponistrom,ponistri,ponistra,ponistrama,ponistre,ponistri,ponistrama,ponistrama
podjezerje,muški,podjezerja,podjezerju,podjezerje,podjezerje,podjezerju,podjezerjem,podjezerja,podjezerja,podjezerjima,podjezerja,podjezerja,podjezerjima,podjezerjima
podmaršal,muški,podmaršala,podmaršalu,podmaršal,podmaršale,podmaršalu,podmaršalom,podmaršali,podmaršala,podmaršalima,podmaršale,podmaršali,podmaršalima,podmaršalima
podrječje,muški,podrječja,podrječju,podrječje,podrječje,podrječju,podrječjem,podrječja,podrječja,podrječjima,podrječja,podrječja,podrječjima,podrječjima
pohust,muški,pohusta,pohustu,pohust,pohuste,pohustu,pohustom,pohusti,pohusta,pohustima,pohuste,pohusti,pohustima,pohustima
polonij,muški,polonija,poloniju,polonij,poloniju,poloniju,polonijem,poloniji,polonija,polonijima,polonije,poloniji,polonijima,polonijima
polumetal,muški,polumetala,polumetalu,polumetal,polumetale,polumetalu,polumetalom,polumetali,polumetala,polumetalima,polumetale,polumetali,polumetalima,polumetalima
Portugalac,muški,Portugalca,Portugalcu,Portugalca,Portugalče,Portugalcu,Portugalcem,Portugalci,Portugalaca,Portugalcima,Portugalce,Portugalci,Portugalcima,Portugalcima
portal,muški,portala,portalu,portal,portale,portalu,portalom,portali,portala,portalima,portale,portali,portalima,portalima
praseodimij,muški,praseodimija,praseodimiju,praseodimij,praseodimiju,praseodimiju,praseodimijem,praseodimiji,praseodimija,praseodimijima,praseodimije,praseodimiji,praseodimijima,praseodimijima
premosnik,muški,premosnika,premosniku,premosnik,premosniče,premosniku,premosnikom,premosnici,premosnika,premosnicima,premosnike,premosnici,premosnicima,premosnicima
prespojnik,muški,prespojnika,prespojniku,prespojnik,prespojniče,prespojniku,prespojnikom,prespojnici,prespojnika,prespojnicima,prespojnike,prespojnici,prespojnicima,prespojnicima
pristupnik,muški,pristupnika,pristupniku,pristupnik,pristupniče,pristupniku,pristupnikom,pristupnici,pristupnika,pristupnicima,pristupnike,pristupnici,pristupnicima,pristupnicima
pripizdina,ženski,pripizdine,pripizdini,pripizdinu,pripizdino,pripizdini,pripizdinom,pripizdine,pripizdina,pripizdinama,pripizdine,pripizdine,pripizdinama,pripizdinama
prepoznajnica,ženski,prepoznajnice,prepoznajnicu,prepoznajnici,prepoznajnice,prepoznajnicu,prepoznajnicom,prepoznajnici,prepoznajnica,prepoznajnicama,prepoznajnice,prepoznajnici,prepoznajnicama,prepoznajnicama
proljeće,ženski,proljeća,proljeću,proljeće,proljeće,proljeću,proljećem,proljeća,proljeća,proljećima,proljeća,proljeća,proljećima,proljećima
prometnica,ženski,prometnice,prometnicu,prometnici,prometnice,prometnicu,prometnicom,prometnici,prometnica,prometnicama,prometnice,prometnici,prometnicama,prometnicama
prometnik,muški,prometnika,prometniku,prometnik,prometniče,prometniku,prometnikom,prometnici,prometnika,prometnicima,prometnike,prometnici,prometnicima,prometnicima
protuletnjak,muški,protuletnjaka,protuletnjaku,protuletnjak,protuletnjače,protuletnjaku,protuletnjakom,protuletnjaci,protuletnjaka,protuletnjacima,protuletnjake,protuletnjaci,protuletnjacima,protuletnjakima
propolis,muški,propolisa,propolisu,propolis,propolise,propolisu,propolisom,propolisi,propolisa,propolisima,propolise,propolisi,propolisima,propolisima
protaktinij,muški,protaktinija,protaktiniju,protaktinij,protaktiniju,protaktiniju,protaktinijem,protaktiniji,protaktinija,protaktinijima,protaktinije,protaktiniji,protaktinijima,protaktinijima
prometij,muški,prometija,prometiju,prometij,prometiju,prometiju,prometijem,prometiji,prometija,prometijima,prometije,prometiji,prometijima,prometijima
ravnalo,srednji,ravnala,ravnalu,ravnalo,ravnalo,ravnalu,ravnalom,ravnala,ravnala,ravnalima,ravnala,ravnala,ravnalima,ravnalima
radij,muški,radija,radiju,radij,radiju,radiju,radijem,radiji,radija,radijima,radije,radiji,radijima,radijima
radon,muški,radona,radonu,radon,radone,radonu,radonem,radoni,radona,radonima,radone,radoni,radonima,radonima
razdjelnik,muški,razdjelnika,razdjelniku,razdjelnik,razdjelniče,razdjelniku,razdjelnikom,razdjelnici,razdjelnika,razdjelnicima,razdjelnike,razdjelnici,razdjelnicima,razdjelnicima
renij,muški,renija,reniju,renij,reniju,reniju,renijem,reniji,renija,renijima,renije,reniji,renijima,renijima
raderfordij,muški,raderfordija,raderfordiju,raderfordij,raderfordiju,raderfordiju,raderfordijem,raderfordiji,raderfordija,raderfordijima,raderfordije,raderfordiji,raderfordijima,raderfordijima
rentgenij,muški,rentgenija,rentgeniju,rentgenij,rentgeniju,rentgeniju,rentgenijem,rentgeniji,rentgenija,rentgenijima,rentgenije,rentgeniji,rentgenijima,rentgenijima
roba,ženski,robe,robu,robi,robe,robu,robom,robi,roba,robama,robe,robi,robama,robama
salamoreznica,ženski,salamoreznice,salamoreznicu,salamoreznici,salamoreznice,salamoreznicu,salamoreznicom,salamoreznici,salamoreznica,salamoreznicama,salamoreznice,salamoreznici,salamoreznicama,salamoreznicama
roentgenij,muški,roentgenija,roentgeniju,roentgenij,roentgeniju,roentgeniju,roentgenijem,roentgeniji,roentgenija,roentgenijima,roentgenije,roentgeniji,roentgenijima,roentgenijima
rožnjak,muški,rožnjaka,rožnjaku,rožnjak,rožnjače,rožnjaku,rožnjakom,rožnjaci,rožnjaka,rožnjacima,rožnjake,rožnjaci,rožnjacima,rožnjacima
rubidij,muški,rubidija,rubidiju,rubidij,rubidiju,rubidiju,rubidijem,rubidiji,rubidija,rubidijima,rubidije,rubidiji,rubidijima,rubidijima
rubljoper,muški,rubljopera,rubljoperu,rubljoper,rubljopere,rubljoperu,rubljoperom,rubljoperi,rubljopera,rubljoperima,rubljopere,rubljoperi,rubljoperima,rubljoperima
samarij,muški,samarija,samariju,samarij,samariju,samariju,samarijem,samariji,samarija,samarijima,samarije,samariji,samarijima,samarijima
rutherfordij,muški,rutherfordija,rutherfordiju,rutherfordij,rutherfordiju,rutherfordiju,rutherfordijem,rutherfordiji,rutherfordija,rutherfordijima,rutherfordije,rutherfordiji,rutherfordijima,rutherfordijima
sard,muški,sarda,sardu,sard,sarde,sardu,sardom,sardi,sarda,sardima,sarde,sardi,sardima,sardima
serbokroatistika,muški,serbokroatistike,serbokroatistici,serbokroatistiku,serbokroatistiko,serbokroatistici,serbokroatistikom,serbokroatistike,serbokroatistika,serbokroatistikama,serbokroatistike,serbokroatistike,serbokroatistikama,serbokroatistikama
serbokroatizam,muški,serbokroatizma,serbokroatizmu,serbokroatizam,serbokroatizme,serbokroatizmu,serbokroatizmom,serbokroatizmi,serbokroatizama,serbokroatizmima,serbokroatizme,serbokroatizmi,serbokroatizmima,serbokroatizmima
selenij,muški,selenija,seleniju,selenij,seleniju,seleniju,selenijem,seleniji,selenija,selenijima,selenije,seleniji,selenijima,selenijima
sergenij,muški,sergenija,sergeniju,sergenij,sergeniju,sergeniju,sergenijem,sergeniji,sergenija,sergenijima,sergenije,sergeniji,sergenijima,sergenijima
serpen,muški,serpna,serpnu,serpen,serpnu,serpnu,serpnem,serpni,serpena,serpnima,serpne,serpni,serpnima,serpnima
silicij,muški,silicija,siliciju,silicij,siliciju,siliciju,silicijem,siliciji,silicija,silicijima,silicije,siliciji,silicijima,silicijima
siborgij,muški,siborgija,siborgiju,siborgij,siborgiju,siborgiju,siborgijem,siborgiji,siborgija,siborgijima,siborgije,siborgiji,siborgijima,siborgijima
sinonim,muški,sinonima,sinonimu,sinonim,sinonime,sinonimu,sinonimom,sinonimi,sinonima,sinonimima,sinonime,sinonimi,sinonimima,sinonimima
sinkronizacija,ženski,sinkronizacije,sinkronizaciji,sinkronizaciju,sinkronizacijo,sinkronizaciji,sinkronizacijom,sinkronizacije,sinkronizacija,sinkronizacijama,sinkronizacije,sinkronizacije,sinkronizacijama,sinkronizacijama
skakavac,muški,skakavca,skakavcu,skakavca,skakavče,skakavcu,skakavcem,skakavci,skakavaca,skakavcima,skakavce,skakavci,skakavcima,skakavcima
skandij,muški,skandija,skandiju,skandij,skandiju,skandiju,skandijem,skandiji,skandija,skandijima,skandije,skandiji,skandijima,skandijima
Slovenac,muški,Slovenca,Slovencu,Slovenca,Slovenče,Slovencu,Slovencem,Slovenci,Slovenaca,Slovencima,Slovence,Slovenci,Slovencima,Slovencima
smjesa,ženski,smjese,smjesi,smjesu,smjeso,smjesi,smjesom,smjese,smjesa,smjesama,smjese,smjese,smjesama,smjesama
slovnjak,muški,slovnjaka,slovnjaku,slovnjak,slovnjače,slovnjaku,slovnjakom,slovnjaci,slovnjaka,slovnjacima,slovnjake,slovnjaci,slovnjacima,slovnjakima
sprežnik,muški,sprežnika,sprežniku,sprežnik,sprežniče,sprežniku,sprežnikom,sprežnici,sprežnika,sprežnicima,sprežnike,sprežnici,sprežnicima,sprežnicima
sraslac,muški,sraslaca,sraslacu,sraslaca,sraslače,sraslacu,sraslacom,sraslaci,sraslaca,sraslacima,sraslace,sraslaci,sraslacima,sraslacima
stanovnica,ženski,stanovnicu,stanovnici,stanovnice,stanovnice,stanovnicu,stanovnicom,stanovnice,stanovnica,stanovnicama,stanovnice,stanovnice,stanovnicama,stanovnicama
starosjedilac,muški,starosjedioca,starosjediocu,starosjedioca,starosjedioče,starosjediocu,starosjediocem,starosjedioci,starosjedilaca,starosjediocima,starosjedioce,starosjedioci,starosjediocima,starosjediocima
starosjeditelj,muški,starosjeditelja,starosjeditelju,starosjeditelja,starosjeditelju,starosjeditelju,starosjediteljem,starosjeditelji,starosjeditelja,starosjediteljima,starosjeditelje,starosjeditelji,starosjediteljima,starosjediteljima
stišovit,muški,stišovita,stišovitu,stišovit,stišovite,stišovitu,stišovitom,stišoviti,stišovita,stišovitima,stišovite,stišoviti,stišovitima,stišovitima
spužva,ženski,spužve,spužvi,spužvu,spužvo,spužvi,spužvom,spužve,spužava,spužvama,spužve,spužve,spužvama,spužvama
srebro,srednji,srebra,srebru,srebro,srebro,srebru,srebrom,srebra,srebara,srebrima,srebra,srebra,srebrima,srebrima
srpanj,muški,srpnja,srpnju,srpanj,srpnju,srpnju,srpnjem,srpnji,srpanja,srpnjima,srpnje,srpnji,srpnjima,srpnjima
stibij,muški,stibija,stibiju,stibij,stibiju,stibiju,stibijem,stibiji,stibija,stibijima,stibije,stibiji,stibijima,stibijima
streljivo,srednji,streljiva,streljivu,streljivo,streljivo,streljivu,streljivom,streljiva,streljiva,streljivima,streljiva,streljiva,streljivima,streljivima
subordinacija,ženski,subordinacije,subordinaciji,subordinaciju,subordinacijo,subordinaciji,subordinacijom,subordinacije,subordinacija,subordinacijama,subordinacije,subordinacije,subordinacijama,subordinacijama
sulfid,muški,sulfida,sulfidu,sulfid,sulfide,sulfidu,sulfidom,sulfidi,sulfida,sulfidima,sulfide,sulfidi,sulfidima,sulfidima
stroncij,muški,stroncija,stronciju,stroncij,stronciju,stronciju,stroncijem,stronciji,stroncija,stroncijima,stroncije,stronciji,stroncijima,stroncijima
sumpor,muški,sumpora,sumporu,sumpor,sumpore,sumporu,sumporom,sumpori,sumpora,sumporima,sumpore,sumpori,sumporima,sumporima
sumporovodik,muški,sumporovodika,sumporovodiku,sumporovodik,sumporovodiče,sumporovodiku,sumporovodikom,sumporovodici,sumporovodika,sumporovodicima,sumporovodike,sumporovodici,sumporovodicima,sumporovodicima
superaktinid,muški,superaktinida,superaktinidu,superaktinid,superaktinide,superaktinidu,superaktinidem,superaktinidi,superaktinida,superaktinidima,superaktinide,superaktinidi,superaktinidima,superaktinidima
sušec,muški,sušca,sušcu,sušca,sušče,sušcu,sušcem,sušci,sušeca,sušcima,sušce,sušci,sušcima,sušcima
svitlac,muški,svitlaca,svitlacu,svitlac,svitlače,svitlacu,svitlacem,svitlaci,svitlaca,svitlacima,svitlace,svitlaci,svitlacima,svitlacima
suosnik,muški,suosnika,suosniku,suosnik,suosniče,suosniku,suosnikom,suosnici,suosnika,suosnicima,suosnike,suosnici,suosnicima,suosnicima
susobnik,muški,susobnika,susobniku,susobnik,susobniče,susobniku,susobnikom,susobnici,susobnika,susobnicima,susobnike,susobnici,susobnicima,susobnicima
svibanj,muški,svibnja,svibnju,svibanj,svibnju,svibnju,svibnjem,svibnji,svibanja,svibnjima,svibnje,svibnji,svibnjima,svibnjima
svjetlik,muški,svjetlika,svjetliku,svjetlik,svjetliče,svjetliku,svjetlikom,svjetlici,svjetlika,svjetlicima,svjetlike,svjetlici,svjetlicima,svjetlicima
suprakrutina,ženski,suprakrutine,suprakrutini,suprakrutinu,suprakrutino,suprakrutini,suprakrutinom,suprakrutine,suprakrutina,suprakrutinama,suprakrutine,suprakrutine,suprakrutinama,suprakrutinama
